nohup: ignoring input
Building prefix dict from the default dictionary ...
Loading model from cache /tmp/jieba.cache
Loading model cost 0.777 seconds.
Prefix dict has been built successfully.
TextClassifyModel(
  (token_emb_layer): TokenEmbeddingModule(
    (emb): Embedding(4707, 128)
  )
  (seq_feature_extract_layer): LSTMSeqFeatureExtractModule(
    (rnn_layer): LSTM(128, 256, num_layers=2, batch_first=True, bidirectional=True)
  )
  (classify_decision_layer): MLPModule(
    (layers): Sequential(
      (0): FCModule(
        (linear): Linear(in_features=512, out_features=256, bias=True)
        (act): ReLU()
        (dropout): Dropout(p=0.1, inplace=False)
      )
      (1): FCModule(
        (linear): Linear(in_features=256, out_features=128, bias=True)
        (act): ReLU()
        (dropout): Dropout(p=0.1, inplace=False)
      )
      (2): FCModule(
        (linear): Linear(in_features=128, out_features=12, bias=True)
        (act): Identity()
        (dropout): Identity()
      )
    )
  )
)
Epoch:3 Train Batch:2150  Loss:0.027 Accuracy:1.000
Epoch:3 Train Batch:2160  Loss:0.273 Accuracy:0.875
Epoch:3 Train Batch:2170  Loss:0.520 Accuracy:0.875
Epoch:3 Train Batch:2180  Loss:0.303 Accuracy:0.938
Epoch:3 Train Batch:2190  Loss:0.002 Accuracy:1.000
Epoch:3 Train Batch:2200  Loss:0.643 Accuracy:0.875
Epoch:3 Train Batch:2210  Loss:0.358 Accuracy:0.875
Epoch:3 Train Batch:2220  Loss:0.223 Accuracy:0.875
Epoch:3 Train Batch:2230  Loss:0.285 Accuracy:0.938
Epoch:3 Train Batch:2240  Loss:0.509 Accuracy:0.812
Epoch:3 Train Batch:2250  Loss:0.331 Accuracy:0.875
Epoch:3 Train Batch:2260  Loss:0.199 Accuracy:0.938
Epoch:3 Train Batch:2270  Loss:0.539 Accuracy:0.812
Epoch:3 Train Batch:2280  Loss:0.061 Accuracy:1.000
Epoch:3 Train Batch:2290  Loss:0.815 Accuracy:0.875
Epoch:3 Train Batch:2300  Loss:0.178 Accuracy:0.938
Epoch:3 Train Batch:2310  Loss:0.088 Accuracy:1.000
Epoch:3 Train Batch:2320  Loss:0.672 Accuracy:0.812
Epoch:3 Train Batch:2330  Loss:0.342 Accuracy:0.875
Epoch:3 Train Batch:2340  Loss:0.209 Accuracy:0.875
Epoch:3 Train Batch:2350  Loss:0.176 Accuracy:0.938
Epoch:3 Train Batch:2360  Loss:0.424 Accuracy:0.812
Epoch:3 Train Batch:2370  Loss:0.376 Accuracy:0.875
Epoch:3 Train Batch:2380  Loss:0.145 Accuracy:0.938
Epoch:3 Train Batch:2390  Loss:0.633 Accuracy:0.750
Epoch:3 Train Batch:2400  Loss:0.038 Accuracy:1.000
Epoch:3 Train Batch:2410  Loss:0.030 Accuracy:1.000
Epoch:3 Train Batch:2420  Loss:0.439 Accuracy:0.812
Epoch:3 Train Batch:2430  Loss:0.330 Accuracy:0.875
Epoch:3 Train Batch:2440  Loss:0.310 Accuracy:0.875
Epoch:3 Train Batch:2450  Loss:0.290 Accuracy:0.875
Epoch:3 Train Batch:2460  Loss:0.247 Accuracy:0.875
Epoch:3 Train Batch:2470  Loss:0.974 Accuracy:0.625
Epoch:3 Train Batch:2480  Loss:0.056 Accuracy:1.000
Epoch:3 Train Batch:2490  Loss:0.165 Accuracy:0.875
Epoch:3 Train Batch:2500  Loss:0.117 Accuracy:1.000
Epoch:3 Train Batch:2510  Loss:0.233 Accuracy:0.938
Epoch:3 Train Batch:2520  Loss:0.674 Accuracy:0.750
Epoch:3 Train Batch:2530  Loss:0.358 Accuracy:0.875
Epoch:3 Train Batch:2540  Loss:0.109 Accuracy:0.938
Epoch:3 Train Batch:2550  Loss:0.244 Accuracy:0.875
Epoch:3 Train Batch:2560  Loss:0.765 Accuracy:0.812
Epoch:3 Train Batch:2570  Loss:0.146 Accuracy:1.000
Epoch:3 Train Batch:2580  Loss:0.227 Accuracy:0.938
Epoch:3 Train Batch:2590  Loss:0.267 Accuracy:0.938
Epoch:3 Train Batch:2600  Loss:0.226 Accuracy:0.875
Epoch:3 Train Batch:2610  Loss:0.453 Accuracy:0.875
Epoch:3 Train Batch:2620  Loss:0.221 Accuracy:0.938
Epoch:3 Train Batch:2630  Loss:0.072 Accuracy:1.000
Epoch:3 Train Batch:2640  Loss:0.452 Accuracy:0.875
Epoch:3 Train Batch:2650  Loss:0.199 Accuracy:0.938
Epoch:3 Train Batch:2660  Loss:0.990 Accuracy:0.750
Epoch:3 Train Batch:2670  Loss:0.276 Accuracy:0.938
Epoch:3 Train Batch:2680  Loss:0.261 Accuracy:0.938
Epoch:3 Train Batch:2690  Loss:0.004 Accuracy:1.000
Epoch:3 Train Batch:2700  Loss:0.122 Accuracy:0.938
Epoch:3 Train Batch:2710  Loss:0.047 Accuracy:1.000
Epoch:3 Train Batch:2720  Loss:0.334 Accuracy:0.938
Epoch:3 Eval Batch:120  Loss:0.623 Accuracy:0.812
Epoch:3 Eval Batch:130  Loss:0.389 Accuracy:0.875
Epoch:3 Eval Batch:140  Loss:0.379 Accuracy:0.875
Epoch:3 Eval Batch:150  Loss:1.105 Accuracy:0.812
Epoch:4 Train Batch:2730  Loss:0.300 Accuracy:0.938
Epoch:4 Train Batch:2740  Loss:0.588 Accuracy:0.750
Epoch:4 Train Batch:2750  Loss:0.124 Accuracy:0.938
Epoch:4 Train Batch:2760  Loss:0.002 Accuracy:1.000
Epoch:4 Train Batch:2770  Loss:0.318 Accuracy:0.875
Epoch:4 Train Batch:2780  Loss:0.266 Accuracy:0.938
Epoch:4 Train Batch:2790  Loss:0.568 Accuracy:0.812
Epoch:4 Train Batch:2800  Loss:0.005 Accuracy:1.000
Epoch:4 Train Batch:2810  Loss:0.489 Accuracy:0.812
Epoch:4 Train Batch:2820  Loss:0.253 Accuracy:0.938
Epoch:4 Train Batch:2830  Loss:0.191 Accuracy:0.938
Epoch:4 Train Batch:2840  Loss:0.184 Accuracy:0.938
Epoch:4 Train Batch:2850  Loss:0.373 Accuracy:0.875
Epoch:4 Train Batch:2860  Loss:0.229 Accuracy:0.875
Epoch:4 Train Batch:2870  Loss:0.160 Accuracy:0.938
Epoch:4 Train Batch:2880  Loss:0.390 Accuracy:0.812
Epoch:4 Train Batch:2890  Loss:0.268 Accuracy:0.938
Epoch:4 Train Batch:2900  Loss:0.301 Accuracy:0.938
Epoch:4 Train Batch:2910  Loss:0.164 Accuracy:0.938
Epoch:4 Train Batch:2920  Loss:0.307 Accuracy:0.875
Epoch:4 Train Batch:2930  Loss:0.497 Accuracy:0.812
Epoch:4 Train Batch:2940  Loss:0.204 Accuracy:0.938
Epoch:4 Train Batch:2950  Loss:0.246 Accuracy:0.938
Epoch:4 Train Batch:2960  Loss:0.282 Accuracy:0.875
Epoch:4 Train Batch:2970  Loss:0.361 Accuracy:0.812
Epoch:4 Train Batch:2980  Loss:0.054 Accuracy:1.000
Epoch:4 Train Batch:2990  Loss:0.617 Accuracy:0.750
Epoch:4 Train Batch:3000  Loss:0.406 Accuracy:0.938
Epoch:4 Train Batch:3010  Loss:0.531 Accuracy:0.812
Epoch:4 Train Batch:3020  Loss:0.190 Accuracy:0.938
Epoch:4 Train Batch:3030  Loss:0.185 Accuracy:0.938
Epoch:4 Train Batch:3040  Loss:0.011 Accuracy:1.000
Epoch:4 Train Batch:3050  Loss:0.025 Accuracy:1.000
Epoch:4 Train Batch:3060  Loss:0.658 Accuracy:0.875
Epoch:4 Train Batch:3070  Loss:0.585 Accuracy:0.812
Epoch:4 Train Batch:3080  Loss:0.114 Accuracy:1.000
Epoch:4 Train Batch:3090  Loss:0.267 Accuracy:0.938
Epoch:4 Train Batch:3100  Loss:0.255 Accuracy:0.938
Epoch:4 Train Batch:3110  Loss:0.083 Accuracy:0.938
Epoch:4 Train Batch:3120  Loss:1.819 Accuracy:0.812
Epoch:4 Train Batch:3130  Loss:0.383 Accuracy:0.938
Epoch:4 Train Batch:3140  Loss:0.085 Accuracy:1.000
Epoch:4 Train Batch:3150  Loss:0.202 Accuracy:0.938
Epoch:4 Train Batch:3160  Loss:0.013 Accuracy:1.000
Epoch:4 Train Batch:3170  Loss:0.103 Accuracy:0.938
Epoch:4 Train Batch:3180  Loss:0.462 Accuracy:0.875
Epoch:4 Train Batch:3190  Loss:0.573 Accuracy:0.812
Epoch:4 Train Batch:3200  Loss:0.131 Accuracy:0.938
Epoch:4 Train Batch:3210  Loss:0.198 Accuracy:0.938
Epoch:4 Train Batch:3220  Loss:0.166 Accuracy:0.938
Epoch:4 Train Batch:3230  Loss:0.153 Accuracy:0.938
Epoch:4 Train Batch:3240  Loss:0.033 Accuracy:1.000
Epoch:4 Train Batch:3250  Loss:0.260 Accuracy:0.938
Epoch:4 Train Batch:3260  Loss:0.151 Accuracy:0.938
Epoch:4 Train Batch:3270  Loss:0.175 Accuracy:0.938
Epoch:4 Train Batch:3280  Loss:0.054 Accuracy:1.000
Epoch:4 Train Batch:3290  Loss:0.154 Accuracy:0.938
Epoch:4 Train Batch:3300  Loss:0.002 Accuracy:1.000
Epoch:4 Train Batch:3310  Loss:0.549 Accuracy:0.875
